"pHSC" "Blasts"
"SETBP1" 8.96762781322873 3.67549581171068
"SLC8A1" 4.91604588439055 8.98471012276316
"GNLY" 0 4.70164181220379
"PDE1C" 5.94084909462674 0.88190279153529
"AC146944.2" 0.419394915092027 5.76229332229498
"OR52K3P" 0 4.86215719718626
"S100B" 0 4.77203756502988
"ADAP2" 0.504653175012643 5.77604784249479
"PRKD1" 5.13867449611372 0
"PDZRN4" 5.14037986688651 0
"C2orf88" 8.56338321742965 4.79013696222682
"SLC18A2" 6.39270005698486 2.64151157953561
"CABLES1" 9.25182941413638 4.37436889426391
"GSTM5" 6.69977290420982 1.73561018111386
"NUDT11" 5.86556002457665 0.90907708828429
"FHL2" 7.27942311153508 3.86741088078573
"OASL" 0 4.60036876291169
"SLC10A5" 6.50478325892456 2.51579382929185
"NAIP" 2.34283256799231 6.75933980204086
"TIAM1" 1.12613218204384 6.36145075062791
"ADRA2A" 6.40234093032429 0.831726472447227
"ABLIM1" 10.6046560827486 4.60139862158885
"TTC9" 6.40920087493554 0.897972761476607
"ZNF286A" 7.04522910715591 4.22162073195297
"SLC15A3" 0.717110732891774 5.47905011210151
"FRMD6" 4.9840824718044 0
"AC090627.1" 4.95807636774723 0
"DMXL2" 8.21543819621611 11.6857857358226
"ADGRE1" 4.93669114501572 8.62084375782293
"MS4A4E" 1.72905845450811 5.95685886054689
"CLEC7A" 3.92529500094385 7.6973698404461
"PEG3" 5.51011976145061 0.499172005335717
"AP003774.3" 0 4.71466156559184
"GUCY1B1" 10.3884296667774 3.75935886718375
"ST7" 8.83296217710483 5.93496465115467
"IL31RA" 0.7290766255726 5.06636674034305
"MYCL" 0.391619445523823 5.09305743361182
"CYYR1-AS1" 4.93441415436803 0
"AC084871.4" 0.183299258260484 5.0056237142225
"LINC01504" 0 4.64409320732543
"SGCZ" 5.47681396453202 0.499172005335717
"SIGLEC7" 0 4.61723120103018
"KIF5A" 4.89177013563779 0
"CCDC175" 6.11988794690922 0.850746507865133
"FYB1" 4.81811253890588 11.2817137182777
"ABCC4" 10.3684415806933 7.34317117311228
"F2R" 10.2866379100392 6.5877071286787
"PCLO" 6.45943110969042 0.885159508912213
"SH3RF3" 0.337457180048777 5.06929875305306
"TMEM163" 7.15735931858815 4.08002215665548
"MIR99AHG" 6.20627584036912 1.81514758991103
"SIGLEC9" 1.18164286444173 7.43460577740773
"NLRP12" 0.912375883833084 5.22687296774599
"ABCA9" 0.925430920155113 5.52764113935553
"BLNK" 0 4.4756540180484
"APOBEC3A" 0 4.54390677174907
"MPIG6B" 8.25862054319006 5.33057158208614
"CRTAM" 0 4.4051858636216
"AL135960.1" 4.86843419864237 0
"ASGR2" 0 4.55993548822061
"NEDD9" 5.15930057825337 8.85690376225431
"KCNJ8" 5.77272946679713 0.593117447915277
"RPS6KA6" 5.36989780753571 0.499172005335717
"LRAT" 4.75399971116561 0
"SLC8A3" 8.89484943227344 1.55420530078502
"PHLDB2" 5.95449262551271 1.33189670898189
"STXBP6" 5.77026170799865 1.36165041163469
"NUDT10" 4.83091968289527 0
"AIM2" 0.337457180048777 4.698860691243
"AC007728.2" 1.09625000182655 5.70103892316419
"AC098613.1" 0 4.53686407160084
"EXPH5" 7.95375673280892 4.52495207440651
"ROBO4" 6.32237116246868 0.93324479837574
"AC007638.2" 4.79550527381592 0
"FCN1" 0.78055731807629 9.32068881287995
"ABI3" 0.639956939125127 5.65579128978057
"AL139807.1" 0 4.39043843388042
"PCDHGB6" 5.53211828852992 0.837588900215842
"SLC7A7" 5.88894679038171 9.21810834234104
"CDKN2B-AS1" 0.745431782744437 5.82362433256233
"TREM1" 2.84704859775371 10.5072597818684
"USP51" 7.59395142342695 4.52523166526226
"EVC2" 5.1606227891535 0.244471452300565
"AL121839.2" 4.73242021174496 0
"KCNE1" 0 4.36148570331025
"RIC3" 4.7263811438023 0
"ARHGEF12" 10.0985021884229 6.3329894239829
"BEX1" 8.0692789527313 2.45066004055699
"LRP6" 8.32211979074253 2.02470574984238
"IFI30" 0 4.22922731793116
"ADAMDEC1" 0 4.3867123418794
"TMTC1" 6.77574352460674 2.11818829312998
"CST3" 5.57990229316327 9.6101476118073
"CDA" 0.695580291857213 5.63798503248637
"SGK1" 4.78556731729818 9.6303910362124
"CD48" 1.81097840082466 7.79275930409488
"SDC3" 0 3.99205533234002
"AKR1C1" 4.62052650534659 0
"HAL" 1.00719368922995 6.62270811737764
"SLAMF1" 0.183299258260484 4.56850676515185
"SAMHD1" 7.71268582267641 13.5489626638936
"TCEAL5" 4.64938388713766 0
"TNFSF14" 0 4.34782706918962
"IL10" 0 3.91762500154218
"TNFAIP2" 3.8604882899465 7.71882274985467
"AC108058.1" 5.24095219208964 0.743643457636282
"CD300H" 0 4.20828656973389
"LRG1" 0.419394915092027 4.91562437148151
"KYNU" 4.74502947081924 8.08038531891999
